min,CH1,CH14,CH40,CH42,CH47,CH54,
182.228,-10,7.38525,0.77,19.9336,497,5,
182.228,-10,7.38831,0.77,19.9336,497,5,
182.228,-10,7.38678,0.77,19.9336,497,5,
182.229,-10,7.38678,0.77,19.9336,497,5,
182.229,-10,7.38373,0.77,19.9336,497,5,
182.229,-10,7.38373,0.77,19.9336,497,5,
182.229,-10,7.38678,0.77,19.9336,497,5,
182.229,-10,7.38525,0.77,19.9336,497,5,
182.229,-10,7.38831,0.77,19.9336,497,5,
182.229,-10,7.38831,0.77,19.9336,497,5,
182.229,-10,7.38678,0.77,19.9336,497,5,
182.229,-10,7.38983,0.77,19.9336,497,5,
182.229,-10,7.38525,0.77,19.9336,497,5,
182.229,-10,7.38678,0.77,19.9336,497,5,
182.229,-10,7.38525,0.77,19.9336,497,5,
182.229,-10,7.38678,0.77,19.9336,497,5,
182.229,-10,7.38525,0.77,19.9336,497,5,
182.229,-10,7.38831,0.77,19.9336,497,5,
182.229,-10,7.38525,0.77,19.9336,497,5,
182.229,-10,7.38831,0.77,19.9336,497,5,
182.229,-10,7.39288,0.77,19.9336,497,5,
182.229,-10,7.38525,0.77,19.9336,497,5,
182.229,-10,7.38525,0.77,19.9336,497,5,
182.229,-10,7.38678,0.77,19.9336,497,5,
182.229,-10,7.38678,0.77,19.9336,497,5,
182.229,-10,7.38831,0.77,19.9336,497,5,
182.229,-10,7.38525,0.77,19.9336,497,5,
182.229,-10,7.38525,0.77,19.9336,497,5,
182.229,-10,7.38678,0.77,19.9336,497,5,
182.229,-10,7.38678,0.77,19.9336,497,5,
182.229,-10,7.38831,0.77,19.9336,497,5,
182.229,-10,7.38525,0.77,19.9336,497,5,
182.23,-10,7.38678,0.77,19.9336,497,5,
182.23,-10,7.38678,0.77,19.9336,497,5,
182.23,-10,7.38525,0.77,19.9336,497,5,
182.23,-10,7.38373,0.77,19.9336,497,5,
182.23,-10,7.38373,0.77,19.9336,497,5,
182.23,-10,7.38678,0.77,19.9336,497,5,
182.23,-10,7.38373,0.77,19.9336,497,5,
182.23,-10,7.38678,0.77,19.9336,497,5,
182.23,-10,7.38831,0.77,19.9336,497,5,
182.23,-10,7.38678,0.77,19.9336,497,5,
182.23,-10,7.38525,0.77,19.9336,497,5,
182.23,-10,7.38831,0.77,19.9336,497,5,
182.23,-10,7.38678,0.77,19.9336,497,5,
182.23,-10,7.38525,0.77,19.9336,497,5,
182.23,-10,7.38525,0.77,19.9336,497,5,
182.23,-10,7.38831,0.77,19.9336,497,5,
182.23,-10,7.38831,0.77,19.9336,497,5,
182.23,-10,7.38678,0.77,19.9336,497,5,
182.23,-10,7.38831,0.77,19.9336,497,5,
182.23,-10,7.38678,0.77,19.9336,497,5,
182.23,-10,7.38678,0.77,19.9336,497,5,
182.23,-10,7.38831,0.77,19.9336,497,5,
182.23,-10,7.38678,0.77,19.9336,497,5,
182.23,-10,7.38831,0.77,19.9336,497,5,
182.23,-10,7.38831,0.77,19.9336,497,5,
182.23,-10,7.38525,0.77,19.9336,497,5,
182.23,-10,7.38831,0.77,19.9336,497,5,
182.23,-10,7.38983,0.77,19.9336,497,5,
182.23,-10,7.38831,0.77,19.9336,497,5,
182.23,-10,7.38831,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38373,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38525,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38525,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38831,0.77,19.9336,497,5,
182.231,-10,7.38525,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38983,0.77,19.9336,497,5,
182.231,-10,7.38373,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38831,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38983,0.77,19.9336,497,5,
182.231,-10,7.3822,0.77,19.9336,497,5,
182.231,-10,7.38525,0.77,19.9336,497,5,
182.231,-10,7.38831,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38678,0.77,19.9336,497,5,
182.231,-10,7.38525,0.77,19.9336,497,5,
182.231,-10,7.38373,0.77,19.9336,497,5,
182.231,-10,7.38831,0.77,19.9336,497,5,
182.231,-10,7.38525,0.77,19.9336,497,5,
182.232,-10,7.38525,0.77,19.9336,497,5,
182.232,-10,7.38678,0.77,19.9336,497,5,
182.232,-10,7.38525,0.77,19.9336,497,5,
182.232,-10,7.38678,0.77,19.9336,497,5,
182.232,-10,7.38831,0.77,19.9336,497,5,
182.232,-10,7.38831,0.77,19.9336,497,5,
182.232,-10,7.38831,0.77,19.9336,497,5,
182.232,-10,7.38525,0.77,19.9336,497,5,
182.232,-10,7.38525,0.77,19.9336,497,5,
182.232,-10,7.38678,0.77,19.9336,497,5,
182.232,-10,7.38983,0.77,19.9336,497,5,
182.232,-10,7.38373,0.77,19.9336,497,5,
182.232,-10,7.38678,0.77,19.9336,497,5,
182.232,-10,7.38831,0.77,19.9336,497,5,
182.232,-10,7.38525,0.77,19.9336,497,5,
182.232,-10,7.38678,0.77,19.9336,497,5,
182.232,-10,7.38831,0.77,19.9336,497,5,
182.232,-10,7.3822,0.77,19.9336,497,5,
182.232,-10,7.38373,0.77,19.9336,497,5,
182.232,-10,7.38525,0.77,19.9336,497,5,
182.232,-10,7.39899,0.77,19.9336,497,5,
182.232,-10,7.39441,0.77,19.9336,497,5,
182.232,-9.87183,7.39899,0.77,19.9336,497,5,
182.232,-9.8645,7.39746,0.77,19.9336,497,5,
182.232,-9.87244,7.39899,0.77,19.9336,497,5,
182.232,-9.88678,7.39746,0.77,19.9336,497,5,
182.232,-9.92188,7.40204,0.77,19.9336,497,5,
182.232,-10,7.39899,1.374,19.9336,497,5,
