min,CH1,CH14,CH40,CH42,CH47,CH54,
59.4675,2.28912,6.72455,2.262,17.5336,385,5,
59.4676,2.28943,6.72455,2.262,17.5336,385,5,
59.4676,2.29004,6.72608,2.262,17.5336,385,5,
59.4676,2.28912,6.72455,2.262,17.5336,385,5,
59.4677,2.28912,6.72302,2.262,17.5336,385,5,
59.4677,2.28882,6.72455,2.262,17.5336,385,5,
59.4677,2.28943,6.72302,2.262,17.5336,385,5,
59.4678,2.28455,6.72302,2.262,17.5336,385,5,
59.4678,2.28424,6.72913,2.262,17.5336,385,5,
59.4678,2.28363,6.72455,2.262,17.5336,385,5,
59.4679,2.28363,6.7215,2.262,17.5336,385,5,
59.4679,2.28424,6.72302,2.262,17.5336,385,5,
59.4679,2.28363,6.72913,2.262,17.5336,385,5,
59.468,2.28424,6.72302,2.262,17.5336,385,5,
59.468,2.28424,6.7276,2.262,17.5336,385,5,
59.468,2.28394,6.72302,2.262,17.5336,385,5,
59.4681,2.28363,6.72455,2.262,17.5336,385,5,
59.4681,2.28394,6.72302,2.262,17.5336,385,5,
59.4681,2.28455,6.71997,2.262,17.5336,385,5,
59.4682,2.27966,6.73523,2.262,17.5336,385,5,
59.4682,2.27966,6.73676,2.262,17.5336,385,5,
59.4682,2.27936,6.73828,2.262,17.5336,385,5,
59.4683,2.27936,6.73676,2.262,17.5336,385,5,
59.4683,2.27966,6.73828,2.262,17.5336,385,5,
59.4683,2.27936,6.73676,2.262,17.5336,385,5,
59.4684,2.27936,6.73523,2.262,17.5336,385,5,
59.4684,2.27966,6.73828,2.262,17.5336,385,5,
59.4684,2.27966,6.73828,2.262,17.5336,385,5,
59.4685,2.27936,6.73523,2.262,17.5336,385,5,
59.4685,2.27539,6.73828,2.262,17.5336,385,5,
59.4685,2.27386,6.73828,2.262,17.5336,385,5,
59.4686,2.27448,6.73523,2.262,17.5336,385,5,
59.4686,2.27417,6.73828,2.262,17.5336,385,5,
59.4686,2.27386,6.73676,2.262,17.5336,385,5,
59.4687,2.27448,6.73676,2.262,17.5336,385,5,
59.4687,2.27448,6.73523,2.262,17.5336,385,5,
59.4687,2.27478,6.7337,2.262,17.5336,385,5,
59.4688,2.27478,6.73828,2.262,17.5336,385,5,
59.4688,2.27203,6.73828,2.262,17.5336,385,5,
59.4688,2.2702,6.73523,2.262,17.5336,385,5,
59.4689,2.26959,6.73676,2.262,17.5336,385,5,
59.4689,2.26929,6.73676,2.262,17.5336,385,5,
59.4689,2.26929,6.73828,2.262,17.5336,385,5,
59.469,2.26898,6.73523,2.262,17.5336,385,5,
59.469,2.26929,6.73828,2.262,17.5336,385,5,
59.469,2.26898,6.73676,2.262,17.5336,385,5,
59.4691,2.26929,6.73523,2.262,17.5336,385,5,
59.4691,2.2641,6.73828,2.262,17.5336,385,5,
59.4691,2.2641,6.74133,2.262,17.5336,385,5,
59.4692,2.2644,6.73676,2.262,17.5336,385,5,
59.4692,2.2644,6.73828,2.262,17.5336,385,5,
59.4692,2.26471,6.73523,2.262,17.5336,385,5,
59.4693,2.2641,6.73828,2.262,17.5336,385,5,
59.4693,2.26562,6.7337,2.262,17.5336,385,5,
59.4693,2.26257,6.73676,2.262,17.5336,385,5,
59.4694,2.25952,6.73676,2.262,17.5336,385,5,
59.4694,2.25983,6.73676,2.262,17.5336,385,5,
59.4694,2.25983,6.73828,2.262,17.5336,385,5,
59.4695,2.25952,6.73676,2.262,17.5336,385,5,
59.4695,2.25983,6.73676,2.262,17.5336,385,5,
59.4695,2.25922,6.73828,2.262,17.5336,385,5,
59.4696,2.25952,6.73523,2.262,17.5336,385,5,
59.4696,2.25403,6.74133,2.262,17.5336,385,5,
59.4696,2.25464,6.73828,2.262,17.5336,385,5,
59.4697,2.25433,6.73523,2.262,17.5336,385,5,
59.4697,2.25372,6.7337,2.262,17.5336,385,5,
59.4697,2.25464,6.7337,2.262,17.5336,385,5,
59.4698,2.25464,6.73828,2.262,17.5336,385,5,
59.4698,2.25494,6.73676,2.262,17.5336,385,5,
59.4698,2.25098,6.74133,2.262,17.5336,385,5,
59.4699,2.24976,6.74286,2.262,17.5336,385,5,
59.4699,2.24976,6.73676,2.262,17.5336,385,5,
59.4699,2.25006,6.73981,2.262,17.5336,385,5,
59.47,2.24945,6.73523,2.262,17.5336,385,5,
59.47,2.24915,6.73981,2.262,17.5336,385,5,
59.47,2.24548,6.73828,2.262,17.5336,385,5,
59.4701,2.24457,6.73676,2.262,17.5336,385,5,
59.4701,2.24548,6.73981,2.262,17.5336,385,5,
59.4701,2.24396,6.73676,2.262,17.5336,385,5,
59.4702,2.24487,6.73523,2.262,17.5336,385,5,
59.4702,2.24487,6.73523,2.262,17.5336,385,5,
59.4702,2.24274,6.73981,2.262,17.5336,385,5,
59.4703,2.23999,6.73676,2.262,17.5336,385,5,
59.4703,2.2403,6.73676,2.262,17.5336,385,5,
59.4703,2.23938,6.73828,2.262,17.5336,385,5,
59.4704,2.23938,6.73676,2.262,17.5336,385,5,
59.4704,2.23969,6.73676,2.262,17.5336,385,5,
59.4704,2.23999,6.73523,2.262,17.5336,385,5,
59.4705,2.23511,6.7337,2.262,17.5336,385,5,
59.4705,2.23511,6.73523,2.262,17.5336,385,5,
59.4705,2.23511,6.73828,2.262,17.5336,385,5,
59.4706,2.2348,6.73676,2.262,17.5336,385,5,
59.4706,2.23511,6.73828,2.262,17.5336,385,5,
59.4706,2.23541,6.73828,2.262,17.5336,385,5,
59.4707,2.23022,6.73523,2.262,17.5336,385,5,
59.4707,2.23053,6.73676,2.262,17.5336,385,5,
59.4707,2.23053,6.73523,2.262,17.5336,385,5,
59.4708,2.23053,6.73981,2.262,17.5336,385,5,
59.4708,2.22992,6.73676,2.262,17.5336,385,5,
59.4708,2.229,6.73981,2.262,17.5336,385,5,
59.4709,2.22565,6.73676,2.262,17.5336,385,5,
59.4709,2.22534,6.73828,2.262,17.5336,385,5,
59.4709,2.22504,6.73523,2.262,17.5336,385,5,
59.471,2.22504,6.73676,2.262,17.5336,385,5,
59.471,2.22565,6.73523,2.262,17.5336,385,5,
59.471,2.22107,6.73981,2.262,17.5336,385,5,
59.4711,2.22076,6.75049,2.262,17.5336,385,5,
59.4711,2.22076,6.74744,2.262,17.5336,385,5,
59.4711,2.22015,6.74591,2.262,17.5336,385,5,
59.4712,2.22046,6.74591,2.262,17.5336,385,5,
59.4712,2.21588,6.75049,2.262,17.5336,385,5,
59.4712,2.21588,6.74744,2.262,17.5336,385,5,
59.4713,2.21558,6.74439,2.262,17.5336,385,5,
59.4713,2.21558,6.75049,2.262,17.5336,385,5,
59.4713,2.21558,6.75049,2.262,17.5336,385,5,
59.4714,2.21375,6.74896,2.262,17.5336,385,5,
59.4714,2.21039,6.75049,2.262,17.5336,385,5,
59.4714,2.21039,6.74896,2.262,17.5336,385,5,
59.4715,2.21039,6.74896,2.262,17.5336,385,5,
59.4715,2.21069,6.74744,2.262,17.5336,385,5,
59.4715,2.21039,6.74896,2.262,17.5336,385,5,
59.4716,2.20612,6.74896,2.262,17.5336,385,5,
59.4716,2.2049,6.75202,2.262,17.5336,385,5,
59.4716,2.20581,6.75049,2.262,17.5336,385,5,
59.4717,2.2049,6.74896,2.262,17.5336,385,5,
59.4717,2.2052,6.74896,2.262,17.5336,385,5,
59.4717,2.20062,6.74591,2.262,17.5336,385,5,
59.4718,2.20032,6.74744,2.262,17.5336,385,5,
59.4718,2.20001,6.74896,2.262,17.5336,385,5,
59.4718,2.20093,6.75202,2.262,17.5336,385,5,
59.4719,2.20093,6.74896,2.262,17.5336,385,5,
59.4719,2.19604,6.74744,2.262,17.5336,385,5,
59.4719,2.19574,6.74896,2.262,17.5336,385,5,
59.472,2.19574,6.74896,2.262,17.5336,385,5,
59.472,2.19574,6.74896,2.262,17.5336,385,5,
59.472,2.19635,6.74744,2.262,17.5336,385,5,
59.4721,2.19116,6.74744,2.262,17.5336,385,5,
59.4721,2.19116,6.74896,2.262,17.5336,385,5,
59.4721,2.19116,6.75049,2.262,17.5336,385,5,
