5100-SECPT.acq
2 msec/sample
6 channels
RSP, X, RSPEC-R
Volts
EDA, Y, PPGED-R
microsiemens
ECG R-R
Seconds
Respiration Rate
BPM
C7 - EDR
Peaks
C14 - Control
Volts
min,CH1,CH14,CH40,CH42,CH47,CH54,
,91109,91109,91109,91109,91109,91109,
74.3468,2.56805,10.7941,0.334,16.8445,334,5,
74.3468,2.56866,10.7941,0.334,16.8445,334,5,
74.3468,2.57263,10.791,0.334,16.8445,334,5,
74.3469,2.57294,10.7971,0.334,16.8445,334,5,
74.3469,2.57385,10.791,0.334,16.8445,334,5,
74.3469,2.57385,10.7941,0.334,16.8445,334,5,
74.347,2.57355,10.8017,0.334,16.8445,334,5,
74.347,2.57416,10.8047,0.334,16.8445,334,5,
74.347,2.57355,10.8047,0.334,16.8445,334,5,
74.3471,2.57355,10.8017,0.334,16.8445,334,5,
74.3471,2.57385,10.8047,0.334,16.8445,334,5,
74.3471,2.57355,10.8032,0.334,16.8445,334,5,
74.3472,2.57355,10.8017,0.334,16.8445,334,5,
74.3472,2.57355,10.8063,0.334,16.8445,334,5,
74.3472,2.57355,10.8017,0.334,16.8445,334,5,
74.3473,2.57324,10.8063,0.334,16.8445,334,5,
74.3473,2.57416,10.8017,0.334,16.8445,334,5,
74.3473,2.57355,10.8063,0.334,16.8445,334,5,
74.3474,2.57721,10.8078,0.334,16.8445,334,5,
74.3474,2.57782,10.8185,0.334,16.8445,334,5,
74.3474,2.57843,10.8139,0.334,16.8445,334,5,
74.3475,2.57843,10.8185,0.334,16.8445,334,5,
74.3475,2.57874,10.817,0.334,16.8445,334,5,
74.3475,2.57812,10.817,0.334,16.8445,334,5,
74.3476,2.57782,10.8185,0.334,16.8445,334,5,
74.3476,2.57874,10.82,0.334,16.8445,334,5,
74.3476,2.57843,10.8154,0.334,16.8445,334,5,
74.3477,2.57843,10.8154,0.334,16.8445,334,5,
74.3477,2.57812,10.817,0.334,16.8445,334,5,
74.3477,2.57812,10.817,0.334,16.8445,334,5,
74.3478,2.57782,10.8185,0.334,16.8445,334,5,
74.3478,2.57843,10.8292,0.334,16.8445,334,5,
74.3478,2.57874,10.8292,0.334,16.8445,334,5,
74.3479,2.57874,10.8307,0.334,16.8445,334,5,
74.3479,2.57904,10.8276,0.334,16.8445,334,5,
74.3479,2.57874,10.8276,0.334,16.8445,334,5,
74.348,2.57843,10.8292,0.334,16.8445,334,5,
74.348,2.57843,10.8292,0.334,16.8445,334,5,
74.348,2.57843,10.8307,0.334,16.8445,334,5,
74.3481,2.57812,10.8307,0.334,16.8445,334,5,
74.3481,2.5827,10.8292,0.334,16.8445,334,5,
74.3481,2.58301,10.8246,0.334,16.8445,334,5,
74.3482,2.5827,10.8307,0.334,16.8445,334,5,
74.3482,2.58301,10.8383,0.334,16.8445,334,5,
74.3482,2.5827,10.8429,0.334,16.8445,334,5,
74.3483,2.58301,10.8414,0.334,16.8445,334,5,
74.3483,2.58301,10.8444,0.334,16.8445,334,5,
74.3483,2.5827,10.8383,0.334,16.8445,334,5,
74.3484,2.58301,10.8429,0.334,16.8445,334,5,
74.3484,2.58209,10.8429,0.334,16.8445,334,5,
74.3484,2.5827,10.8414,0.334,16.8445,334,5,
74.3485,2.58301,10.8429,0.334,16.8445,334,5,
74.3485,2.58301,10.8398,0.334,16.8445,334,5,
74.3485,2.58331,10.8398,0.334,16.8445,334,5,
74.3486,2.5827,10.8429,0.334,16.8445,334,5,
74.3486,2.58301,10.8521,0.334,16.8445,334,5,
74.3486,2.5827,10.8521,0.334,16.8445,334,5,
74.3487,2.58301,10.8536,0.334,16.8445,334,5,
74.3487,2.5827,10.8536,0.334,16.8445,334,5,
74.3487,2.5827,10.8551,0.334,16.8445,334,5,
74.3488,2.58301,10.8536,0.334,16.8445,334,5,
74.3488,2.58331,10.8582,0.334,16.8445,334,5,
74.3488,2.58301,10.8505,0.334,16.8445,334,5,
74.3489,2.5827,10.8536,0.334,16.8445,334,5,
74.3489,2.5827,10.8521,0.334,16.8445,334,5,
74.3489,2.5827,10.8536,0.334,16.8445,334,5,
74.349,2.5824,10.8521,0.334,16.8445,334,5,
74.349,2.58301,10.8505,0.334,16.8445,334,5,
74.349,2.58331,10.8643,0.334,16.8445,334,5,
74.3491,2.5824,10.8658,0.334,16.8445,334,5,
74.3491,2.58301,10.8643,0.334,16.8445,334,5,
74.3491,2.58301,10.8673,0.334,16.8445,334,5,
74.3492,2.58301,10.8673,0.334,16.8445,334,5,
74.3492,2.5827,10.8658,0.334,16.8445,334,5,
74.3492,2.5824,10.8658,0.334,16.8445,334,5,
74.3493,2.5824,10.8673,0.334,16.8445,334,5,
74.3493,2.58209,10.8658,0.334,16.8445,334,5,
74.3493,2.58331,10.8658,0.334,16.8445,334,5,
74.3494,2.5827,10.8643,0.334,16.8445,334,5,
74.3494,2.5824,10.8658,0.334,16.8445,334,5,
74.3494,2.58301,10.8658,0.334,16.8445,334,5,
74.3495,2.5824,10.878,0.334,16.8445,334,5,
74.3495,2.58331,10.878,0.334,16.8445,334,5,
74.3495,2.58331,10.8795,0.334,16.8445,334,5,
74.3496,2.58301,10.8749,0.334,16.8445,334,5,
74.3496,2.58331,10.8795,0.334,16.8445,334,5,
74.3496,2.58301,10.881,0.334,16.8445,334,5,
74.3497,2.58362,10.8795,0.334,16.8445,334,5,
74.3497,2.58301,10.878,0.334,16.8445,334,5,
74.3497,2.58301,10.8765,0.334,16.8445,334,5,
74.3498,2.58331,10.878,0.334,16.8445,334,5,
74.3498,2.58301,10.878,0.334,16.8445,334,5,
74.3498,2.58301,10.878,0.334,16.8445,334,5,
74.3499,2.5827,10.881,0.334,16.8445,334,5,
74.3499,2.58301,10.878,0.334,16.8445,334,5,
74.3499,2.58331,10.8871,0.334,16.8445,334,5,
74.35,2.58301,10.8917,0.334,16.8445,334,5,
74.35,2.5824,10.8902,0.334,16.8445,334,5,
74.35,2.58362,10.8902,0.334,16.8445,334,5,
74.3501,2.58301,10.8887,0.334,16.8445,334,5,
74.3501,2.58331,10.8917,0.334,16.8445,334,5,
74.3501,2.58301,10.8917,0.334,16.8445,334,5,
74.3502,2.5827,10.8902,0.334,16.8445,334,5,
74.3502,2.58362,10.8917,0.334,16.8445,334,5,
74.3502,2.58301,10.8902,0.334,16.8445,334,5,
74.3503,2.58331,10.8887,0.334,16.8445,334,5,
74.3503,2.58362,10.8902,0.334,16.8445,334,5,
74.3503,2.58331,10.8902,0.334,16.8445,334,5,
74.3504,2.58301,10.8963,0.334,16.8445,334,5,
74.3504,2.58362,10.8871,0.334,16.8445,334,5,
74.3504,2.58301,10.9009,0.334,16.8445,334,5,
74.3505,2.58209,10.9009,0.334,16.8445,334,5,
74.3505,2.58209,10.9039,0.334,16.8445,334,5,
74.3505,2.58331,10.9039,0.334,16.8445,334,5,
74.3506,2.5827,10.9024,0.334,16.8445,334,5,
74.3506,2.58331,10.9039,0.334,16.8445,334,5,
74.3506,2.58331,10.9009,0.334,16.8445,334,5,
74.3507,2.58301,10.9024,0.334,16.8445,334,5,
74.3507,2.58362,10.9024,0.334,16.8445,334,5,
74.3507,2.58209,10.9024,0.334,16.8445,334,5,
74.3508,2.58301,10.9009,0.334,16.8445,334,5,
74.3508,2.58301,10.9024,0.334,16.8445,334,5,
74.3508,2.58362,10.9024,0.334,16.8445,334,5,
74.3509,2.58301,10.9024,0.334,16.8445,334,5,
74.3509,2.58331,10.9146,0.334,16.8445,334,5,
74.3509,2.58331,10.9161,0.334,16.8445,334,5,
74.351,2.58362,10.9146,0.334,16.8445,334,5,
74.351,2.58331,10.9161,0.334,16.8445,334,5,
74.351,2.58301,10.9161,0.334,16.8445,334,5,
74.3511,2.58301,10.9161,0.334,16.8445,334,5,
74.3511,2.5827,10.9161,0.334,16.8445,334,5,
74.3511,2.58209,10.9177,0.334,16.8445,334,5,
74.3512,2.58301,10.9131,0.334,16.8445,334,5,
74.3512,2.58301,10.9146,0.334,16.8445,334,5,
74.3512,2.58301,10.9146,0.334,16.8445,334,5,
74.3513,2.5827,10.9131,0.334,16.8445,334,5,
74.3513,2.5824,10.9146,0.334,16.8445,334,5,
74.3513,2.58331,10.9131,0.334,16.8445,334,5,
74.3514,2.58301,10.9268,0.334,16.8445,334,5,
74.3514,2.58301,10.9238,0.334,16.8445,334,5,
74.3514,2.58301,10.9253,0.334,16.8445,334,5,
74.3515,2.58362,10.9253,0.334,16.8445,334,5,
74.3515,2.5827,10.9268,0.334,16.8445,334,5,
74.3515,2.58301,10.9253,0.334,16.8445,334,5,
74.3516,2.58331,10.9253,0.334,16.8445,334,5,
74.3516,2.58362,10.9268,0.334,16.8445,334,5,
74.3516,2.57843,10.9283,0.334,16.8445,334,5,
74.3517,2.57812,10.9283,0.334,16.8445,334,5,
74.3517,2.57843,10.9299,0.334,16.8445,334,5,
74.3517,2.57843,10.9299,0.334,16.8445,334,5,
74.3518,2.57843,10.9375,0.334,16.8445,334,5,
74.3518,2.57874,10.9375,0.334,16.8445,334,5,
74.3518,2.57843,10.9375,0.334,16.8445,334,5,
74.3519,2.57721,10.9406,0.334,16.8445,334,5,
74.3519,2.57874,10.939,0.334,16.8445,334,5,
74.3519,2.57904,10.936,0.334,16.8445,334,5,
74.352,2.57812,10.9406,0.334,16.8445,334,5,
74.352,2.57874,10.9375,0.334,16.8445,334,5,
74.352,2.57843,10.939,0.334,16.8445,334,5,
74.3521,2.57782,10.9406,0.334,16.8445,334,5,
74.3521,2.57843,10.939,0.334,16.8445,334,5,
74.3521,2.57355,10.9375,0.334,16.8445,334,5,
74.3522,2.57355,10.9512,0.334,16.8445,334,5,
74.3522,2.57324,10.9497,0.334,16.8445,334,5,
74.3522,2.57324,10.9512,0.334,16.8445,334,5,
74.3523,2.57294,10.9467,0.334,16.8445,334,5,
74.3523,2.57294,10.9512,0.334,16.8445,334,5,
74.3523,2.57355,10.9543,0.334,16.8445,334,5,
74.3524,2.57385,10.9512,0.334,16.8445,334,5,
74.3524,2.57385,10.9512,0.334,16.8445,334,5,
74.3524,2.57385,10.9497,0.334,16.8445,334,5,
74.3525,2.56866,10.9482,0.334,16.8445,334,5,
74.3525,2.56836,10.9512,0.334,16.8445,334,5,
74.3525,2.56897,10.9619,0.334,16.8445,334,5,
74.3526,2.56866,10.9619,0.334,16.8445,334,5,
74.3526,2.56836,10.965,0.334,16.8445,334,5,
74.3526,2.56836,10.9634,0.334,16.8445,334,5,
74.3527,2.56866,10.965,0.334,16.8445,334,5,
74.3527,2.56897,10.9634,0.334,16.8445,334,5,
74.3527,2.56744,10.9634,0.334,16.8445,334,5,
74.3528,2.56439,10.9665,0.334,16.8445,334,5,
74.3528,2.56409,10.9619,0.334,16.8445,334,5,
74.3528,2.56378,10.9619,0.334,16.8445,334,5,
74.3529,2.56348,10.9634,0.334,16.8445,334,5,
74.3529,2.56439,10.9634,0.334,16.8445,334,5,
74.3529,2.56348,10.968,0.334,16.8445,334,5,
74.353,2.56378,10.9756,0.334,16.8445,334,5,
74.353,2.5589,10.9741,0.334,16.8445,334,5,
