4000-SECPT.acq
2 msec/sample
6 channels
RSP, X, RSPEC-R
Volts
EDA, Y, PPGED-R
microsiemens
ECG R-R
Seconds
Respiration Rate
BPM
C7 - EDR
Peaks
C14 - Control
Volts
sec,CH1,CH14,CH40,CH42,CH47,CH54,
,20115,20115,20115,20115,20115,20115,
11753.7,-0.567627,4.78058,0.34,14.0121,429,5,
11753.7,-0.570068,4.77753,0.34,14.0121,429,5,
11753.7,-0.571899,4.78516,0.34,14.0121,429,5,
11753.7,-0.572205,4.77905,0.34,14.0121,429,5,
11753.7,-0.572205,4.78058,0.34,14.0121,429,5,
11753.7,-0.57251,4.78211,0.34,14.0121,429,5,
11753.7,-0.574951,4.78516,0.34,14.0121,429,5,
11753.7,-0.577393,4.78211,0.34,14.0121,429,5,
11753.7,-0.577393,4.77905,0.34,14.0121,429,5,
11753.7,-0.577393,4.77905,0.34,14.0121,429,5,
11753.7,-0.577393,4.78211,0.34,14.0121,429,5,
11753.7,-0.576172,4.77905,0.34,14.0121,429,5,
11753.7,-0.582275,4.77905,0.34,14.0121,429,5,
11753.7,-0.582275,4.77905,0.34,14.0121,429,5,
11753.7,-0.582581,4.78058,0.34,14.0121,429,5,
11753.7,-0.58197,4.78058,0.34,14.0121,429,5,
11753.7,-0.58197,4.78058,0.34,14.0121,429,5,
11753.7,-0.585632,4.78058,0.34,14.0121,429,5,
11753.7,-0.587158,4.77753,0.34,14.0121,429,5,
11753.7,-0.587769,4.78211,0.34,14.0121,429,5,
11753.7,-0.587463,4.78211,0.34,14.0121,429,5,
11753.7,-0.587463,4.78058,0.34,14.0121,429,5,
11753.7,-0.587463,4.78211,0.34,14.0121,429,5,
11753.7,-0.592651,4.77905,0.34,14.0121,429,5,
11753.7,-0.592651,4.77905,0.34,14.0121,429,5,
11753.7,-0.592346,4.78211,0.34,14.0121,429,5,
11753.7,-0.592651,4.78058,0.34,14.0121,429,5,
11753.7,-0.591736,4.78211,0.34,14.0121,429,5,
11753.7,-0.591736,4.78058,0.34,14.0121,429,5,
11753.7,-0.597229,4.78058,0.34,14.0121,429,5,
11753.8,-0.596619,4.78058,0.34,14.0121,429,5,
11753.8,-0.597229,4.77753,0.34,14.0121,429,5,
11753.8,-0.597229,4.77905,0.34,14.0121,429,5,
11753.8,-0.597229,4.78058,0.34,14.0121,429,5,
11753.8,-0.597534,4.78211,0.34,14.0121,429,5,
11753.8,-0.602417,4.77753,0.34,14.0121,429,5,
11753.8,-0.602722,4.78058,0.34,14.0121,429,5,
11753.8,-0.601501,4.77905,0.34,14.0121,429,5,
11753.8,-0.602112,4.78058,0.34,14.0121,429,5,
11753.8,-0.601196,4.78211,0.34,14.0121,429,5,
11753.8,-0.602417,4.77905,0.34,14.0121,429,5,
11753.8,-0.606384,4.78211,0.34,14.0121,429,5,
11753.8,-0.606079,4.78211,0.34,14.0121,429,5,
11753.8,-0.606995,4.78058,0.34,14.0121,429,5,
11753.8,-0.606689,4.77905,0.34,14.0121,429,5,
11753.8,-0.606384,4.78058,0.34,14.0121,429,5,
11753.8,-0.606995,4.78058,0.34,14.0121,429,5,
11753.8,-0.611572,4.78058,0.34,14.0121,429,5,
11753.8,-0.611877,4.78058,0.34,14.0121,429,5,
11753.8,-0.612183,4.78211,0.34,14.0121,429,5,
