2700-SECPT.acq
200 msec/sample
6 channels
RSP, X, RSPEC-R
Volts
EDA, Y, PPGED-R
microsiemens
ECG R-R
Seconds
Respiration Rate
BPM
C7 - EDR
Peaks
C14 - Control
Volts
min,CH1,CH14,CH40,CH42,CH47,CH54,
,911,911,911,911,911,911,
225.17,4.81293,4.39148,2.408,17.0455,432,5,
225.173,4.81354,4.38995,2.408,17.0455,432,5,
225.177,4.6759,4.37775,2.408,17.0455,432,5,
225.18,4.50531,4.37775,2.408,17.0455,432,5,
225.183,4.24988,4.36554,2.408,17.0455,432,5,
225.187,3.85559,4.35486,2.408,17.0455,432,5,
225.19,3.19153,4.35486,0,17.0455,432,5,
225.193,2.97028,4.34418,0,17.0455,432,5,
225.197,3.35236,4.34113,0,17.0455,432,5,
225.2,3.81989,4.3396,0,17.0455,432,5,
225.203,4.15527,4.34265,0,17.0455,432,5,
225.207,4.33258,4.36707,0,17.0455,432,5,
225.21,4.41101,4.37775,0,17.0455,432,5,
225.213,4.46014,4.40369,0,17.0455,432,5,
225.217,4.53857,4.41742,0,17.0455,432,5,
225.22,4.60724,4.44336,0,17.0455,432,5,
225.223,4.67133,4.46472,2.768,17.0455,432,5,
225.227,4.81384,4.4754,2.768,17.0455,432,5,
225.23,4.81842,4.5044,2.768,17.0455,432,5,
225.233,4.64691,4.5166,2.768,17.0455,432,5,
225.237,4.2984,4.53796,0,17.0455,432,5,
225.24,3.93341,4.56238,0,17.0455,432,5,
225.243,3.64655,4.5639,0,17.0455,432,5,
225.247,3.41156,4.57916,0,17.0455,432,5,
225.25,3.23975,4.57306,0,17.0455,432,5,
225.253,3.1134,4.57306,3.198,17.0455,432,0,
225.257,2.9657,4.57306,0.376,17.0455,432,0,
225.26,2.87201,4.57459,0.376,17.0455,432,0,
225.263,2.83356,4.57611,0.376,17.0455,432,0,
225.267,2.82318,4.56238,0.376,17.0455,432,0,
225.27,2.79388,4.56696,0.376,17.0455,432,0,
225.273,2.7652,4.55322,0.376,17.0455,432,0,
225.277,2.79205,4.54712,0.376,17.0455,433,0,
225.28,2.91168,4.54865,0.376,17.0455,433,0,
225.283,3.06396,4.53644,0.376,17.0455,433,0,
225.287,3.2843,4.53796,0.376,17.0455,433,0,
225.29,3.53149,4.52271,0.376,17.0455,433,5,
225.293,3.69568,4.52728,0.376,17.0455,433,5,
225.297,3.76373,4.51202,1.918,17.0455,433,5,
225.3,3.79303,4.51355,1.918,17.0455,433,5,
225.303,3.76892,4.49982,1.918,17.0455,433,5,
225.307,3.66608,4.49829,1.918,17.0455,433,5,
225.31,3.58704,4.48608,1.918,17.0455,433,5,
225.313,3.52631,4.48761,1.918,17.0455,433,5,
225.317,3.4021,4.47846,1.918,17.0455,433,5,
225.32,3.4436,4.4632,1.902,17.0455,433,5,
225.323,3.6911,4.46472,1.902,17.0455,433,5,
225.327,3.91388,4.45404,1.902,17.0455,433,5,
