1000-SECPT.acq
2 msec/sample
6 channels
RSP, X, RSPEC-R
Volts
EDA, Y, PPGED-R
microsiemens
ECG R-R
Seconds
Respiration Rate
BPM
C7 - EDR
Peaks
C14 - Control
Volts
min,CH1,CH14,CH40,CH42,CH47,CH54,
,90796,90796,90796,90796,90796,90796,
69.6706,5.09155,6.25,0.412,13.0265,313,5,
69.6707,5.09247,6.25305,0.412,13.0265,313,5,
69.6707,5.09155,6.24848,0.412,13.0265,313,5,
69.6707,5.09155,6.24695,0.412,13.0265,313,5,
69.6708,5.09216,6.25153,0.412,13.0265,313,5,
69.6708,5.09155,6.24695,0.412,13.0265,313,5,
69.6708,5.09155,6.25,0.412,13.0265,313,5,
69.6709,5.09186,6.25153,0.412,13.0265,313,5,
69.6709,5.09247,6.24848,0.412,13.0265,313,5,
69.6709,5.09186,6.24848,0.412,13.0265,313,5,
69.671,5.09186,6.25,0.412,13.0265,313,5,
69.671,5.09186,6.24848,0.412,13.0265,313,5,
69.671,5.09399,6.25,0.412,13.0265,313,5,
69.6711,5.09644,6.24848,0.412,13.0265,313,5,
69.6711,5.09674,6.25,0.412,13.0265,313,5,
69.6711,5.09705,6.24848,0.412,13.0265,313,5,
69.6712,5.09766,6.25153,0.412,13.0265,313,5,
69.6712,5.09674,6.24848,0.412,13.0265,313,5,
69.6712,5.09705,6.25153,0.412,13.0265,313,5,
69.6713,5.09644,6.25,0.412,13.0265,313,5,
69.6713,5.09705,6.25,0.412,13.0265,313,5,
69.6713,5.09705,6.25305,0.412,13.0265,313,5,
69.6714,5.09705,6.24695,0.412,13.0265,313,5,
69.6714,5.09674,6.24848,0.412,13.0265,313,5,
69.6714,5.09705,6.25,0.412,13.0265,313,5,
69.6715,5.09705,6.24848,0.412,13.0265,313,5,
69.6715,5.09644,6.25,0.412,13.0265,313,5,
69.6715,5.09644,6.24848,0.412,13.0265,313,5,
69.6716,5.09674,6.25,0.412,13.0265,313,5,
69.6716,5.09644,6.25305,0.412,13.0265,313,5,
69.6716,5.09949,6.24848,0.412,13.0265,313,5,
69.6717,5.10162,6.25,0.412,13.0265,313,5,
69.6717,5.10162,6.25153,0.412,13.0265,313,5,
69.6717,5.10162,6.25153,0.412,13.0265,313,5,
69.6718,5.10193,6.25,0.412,13.0265,313,5,
69.6718,5.10162,6.25,0.412,13.0265,313,5,
69.6718,5.10071,6.25,0.412,13.0265,313,5,
69.6719,5.10132,6.25305,0.412,13.0265,313,5,
69.6719,5.10162,6.24848,0.412,13.0265,313,5,
69.6719,5.10254,6.24848,0.412,13.0265,313,5,
69.672,5.10132,6.25,0.412,13.0265,313,5,
