5900-SECPT.acq
2 msec/sample
6 channels
RSP, X, RSPEC-R
Volts
EDA, Y, PPGED-R
microsiemens
ECG R-R
Seconds
Respiration Rate
BPM
C7 - EDR
Peaks
C14 - Control
Volts
min,CH1,CH14,CH40,CH42,CH47,CH54,
,90222,90222,90222,90222,90222,90222,
84.1183,4.06769,6.81915,1.606,4.1006,373,5,
84.1184,4.0683,6.82221,1.606,4.1006,373,5,
84.1184,4.06738,6.82678,1.606,4.1006,373,5,
84.1184,4.06769,6.83136,1.606,4.1006,373,5,
84.1185,4.06799,6.83441,1.606,4.1006,373,5,
84.1185,4.06799,6.83441,1.606,4.1006,373,5,
84.1185,4.06647,6.83136,1.606,4.1006,373,5,
84.1186,4.06281,6.83136,1.606,4.1006,373,5,
84.1186,4.06311,6.83441,1.606,4.1006,373,5,
84.1186,4.06281,6.83441,1.606,4.1006,373,5,
84.1187,4.06311,6.83136,1.606,4.1006,373,5,
84.1187,4.06281,6.83289,1.606,4.1006,373,5,
84.1187,4.06342,6.83289,1.606,4.1006,373,5,
84.1188,4.06372,6.82983,1.606,4.1006,373,5,
84.1188,4.05975,6.83289,1.606,4.1006,373,5,
84.1188,4.05853,6.83289,1.606,4.1006,373,5,
84.1189,4.05914,6.83441,1.606,4.1006,373,5,
84.1189,4.05884,6.83289,1.606,4.1006,373,5,
84.1189,4.05884,6.83289,1.606,4.1006,373,5,
84.119,4.05853,6.83136,1.606,4.1006,373,5,
84.119,4.05853,6.83136,1.606,4.1006,373,5,
84.119,4.05823,6.83136,1.606,4.1006,373,5,
84.1191,4.05792,6.83441,1.606,4.1006,373,5,
84.1191,4.05701,6.83594,1.606,4.1006,373,5,
84.1191,4.05304,6.83136,1.606,4.1006,373,5,
84.1192,4.05304,6.83441,1.606,4.1006,373,5,
84.1192,4.05304,6.83441,1.606,4.1006,373,5,
84.1192,4.05334,6.84815,1.606,4.1006,373,5,
84.1193,4.05273,6.84815,1.606,4.1006,373,5,
84.1193,4.05243,6.84509,1.606,4.1006,373,5,
84.1193,4.05243,6.84662,1.606,4.1006,373,5,
84.1194,4.05365,6.84662,1.606,4.1006,373,5,
84.1194,4.05273,6.84662,1.606,4.1006,373,5,
84.1194,4.05304,6.84815,1.606,4.1006,373,5,
84.1195,4.05273,6.84509,1.606,4.1006,373,5,
84.1195,4.05334,6.84357,1.606,4.1006,373,5,
84.1195,4.04846,6.84204,1.606,4.1006,373,5,
84.1196,4.04785,6.84509,1.606,4.1006,373,5,
84.1196,4.04877,6.84967,1.606,4.1006,373,5,
84.1196,4.04816,6.84662,1.606,4.1006,373,5,
84.1197,4.04816,6.84662,1.606,4.1006,373,5,
84.1197,4.04785,6.84509,1.606,4.1006,373,5,
84.1197,4.04755,6.84509,1.606,4.1006,373,5,
84.1198,4.04877,6.84357,1.606,4.1006,373,5,
84.1198,4.04846,6.85883,1.606,4.1006,373,5,
84.1198,4.04785,6.8573,1.606,4.1006,373,5,
84.1199,4.04816,6.86035,1.606,4.1006,373,5,
84.1199,4.04785,6.85883,1.606,4.1006,373,5,
84.1199,4.04846,6.8573,1.606,4.1006,373,5,
84.12,4.04816,6.85883,1.606,4.1006,373,5,
84.12,4.04877,6.85883,1.606,4.1006,373,5,
84.12,4.04846,6.85577,1.606,4.1006,373,5,
84.1201,4.04785,6.8573,1.606,4.1006,373,5,
84.1201,4.04816,6.85577,1.606,4.1006,373,5,
84.1201,4.04816,6.85425,1.606,4.1006,373,5,
84.1202,4.04816,6.8573,1.606,4.1006,373,5,
84.1202,4.04785,6.86035,1.606,4.1006,373,5,
84.1202,4.04816,6.86035,1.606,4.1006,373,5,
84.1203,4.04846,6.85883,1.606,4.1006,373,5,
84.1203,4.04816,6.86951,1.606,4.1006,373,5,
84.1203,4.04846,6.87103,1.606,4.1006,373,5,
84.1204,4.04785,6.87256,1.606,4.1006,373,5,
84.1204,4.04877,6.86646,1.606,4.1006,373,5,
84.1204,4.04816,6.87256,1.606,4.1006,373,5,
84.1205,4.04846,6.87103,1.606,4.1006,373,5,
84.1205,4.04755,6.86951,1.606,4.1006,373,5,
84.1205,4.04846,6.86951,1.606,4.1006,373,5,
84.1206,4.04877,6.86951,1.606,4.1006,373,5,
84.1206,4.04785,6.86951,1.606,4.1006,373,5,
84.1206,4.04694,6.86951,1.606,4.1006,373,5,
84.1207,4.04877,6.86798,1.606,4.1006,373,5,
84.1207,4.04755,6.86951,1.606,4.1006,373,5,
84.1207,4.04877,6.87409,1.606,4.1006,373,5,
84.1208,4.04785,6.86951,1.606,4.1006,373,5,
84.1208,4.04846,6.87103,1.606,4.1006,373,5,
84.1208,4.04816,6.87409,1.606,4.1006,373,5,
84.1209,4.04785,6.88477,1.606,4.1006,373,5,
84.1209,4.04724,6.88171,1.606,4.1006,373,5,
84.1209,4.04816,6.88019,1.606,4.1006,373,5,
84.121,4.04816,6.88324,1.606,4.1006,373,5,
84.121,4.04816,6.88019,1.606,4.1006,373,5,
84.121,4.04785,6.88629,1.606,4.1006,373,5,
84.1211,4.04785,6.88477,1.606,4.1006,373,5,
84.1211,4.05304,6.88477,1.606,4.1006,373,5,
84.1211,4.05243,6.88324,1.606,4.1006,373,5,
84.1212,4.05334,6.88171,1.606,4.1006,373,5,
84.1212,4.05273,6.88324,1.606,4.1006,373,5,
84.1212,4.05304,6.88477,1.606,4.1006,373,5,
84.1213,4.05334,6.88171,1.606,4.1006,373,5,
84.1213,4.05304,6.88019,1.606,4.1006,373,5,
84.1213,4.05304,6.88171,1.606,4.1006,373,5,
84.1214,4.05334,6.88019,1.606,4.1006,373,5,
84.1214,4.05304,6.88019,1.606,4.1006,373,5,
84.1214,4.05334,6.88324,1.606,4.1006,373,5,
84.1215,4.05365,6.88171,1.606,4.1006,373,5,
84.1215,4.05396,6.88019,1.606,4.1006,373,5,
84.1215,4.05334,6.88171,1.606,4.1006,373,5,
84.1216,4.05396,6.88324,1.606,4.1006,373,5,
84.1216,4.05701,6.89087,1.606,4.1006,373,5,
84.1216,4.05792,6.8924,1.606,4.1006,373,5,
84.1217,4.05731,6.89545,1.606,4.1006,373,5,
84.1217,4.05792,6.89392,1.606,4.1006,373,5,
84.1217,4.05792,6.89392,1.606,4.1006,373,5,
84.1218,4.05823,6.89545,1.606,4.1006,373,5,
84.1218,4.05853,6.89545,1.606,4.1006,373,5,
